review_id,product_category,review_text,rating,review_date,verified_purchase,helpful_votes,sentiment,sentiment_score
R00001,Sports,Fantastic quality and great value for money. Love it!,4,2023-01-01 00:00:00.000000000,True,1,Positive,0.8
R00002,Books,Terrible! Cheap materials and poor construction.,2,2023-01-01 00:52:33.915391539,True,3,Negative,-0.8
R00003,Sports,Outstanding product! Exceeded my expectations completely.,5,2023-01-01 01:45:07.830783078,True,2,Positive,0.6
R00004,Home & Garden,Perfect! Exactly what I was looking for. Great customer service too.,5,2023-01-01 02:37:41.746174617,True,0,Positive,0.7
R00005,Clothing,Terrible! Cheap materials and poor construction.,1,2023-01-01 03:30:15.661566156,False,3,Negative,-0.8
R00006,Sports,Horrible experience! Product defective and customer service unhelpful.,1,2023-01-01 04:22:49.576957695,False,2,Negative,-0.7
R00007,Home & Garden,Average quality. Could be better for the price.,3,2023-01-01 05:15:23.492349234,True,6,Positive,0.6
R00008,Sports,Great product! Highly recommend it. Excellent quality and fast shipping.,5,2023-01-01 06:07:57.407740774,True,3,Positive,0.9
R00009,Sports,Terrible product! Poor quality and waste of money.,1,2023-01-01 07:00:31.323132313,True,3,Negative,-0.8
R00010,Books,Okay product. Nothing special but does the job.,3,2023-01-01 07:53:05.238523852,True,6,Neutral,0.0
R00011,Beauty,Fantastic quality and great value for money. Love it!,5,2023-01-01 08:45:39.153915391,False,2,Positive,0.8
R00012,Beauty,Average quality. Could be better for the price.,3,2023-01-01 09:38:13.069306930,True,2,Positive,0.6
R00013,Home & Garden,Great product! Highly recommend it. Excellent quality and fast shipping.,5,2023-01-01 10:30:46.984698469,False,3,Positive,0.9
R00014,Home & Garden,Perfect! Exactly what I was looking for. Great customer service too.,5,2023-01-01 11:23:20.900090009,False,6,Positive,0.7
R00015,Electronics,Decent product. Meets basic expectations.,3,2023-01-01 12:15:54.815481548,True,1,Neutral,0.0
R00016,Books,Horrible experience! Product defective and customer service unhelpful.,1,2023-01-01 13:08:28.730873087,True,2,Negative,-0.7
R00017,Books,Outstanding product! Exceeded my expectations completely.,4,2023-01-01 14:01:02.646264626,True,5,Positive,0.6
R00018,Electronics,Terrible product! Poor quality and waste of money.,1,2023-01-01 14:53:36.561656165,True,2,Negative,-0.8
R00019,Clothing,Great product! Highly recommend it. Excellent quality and fast shipping.,4,2023-01-01 15:46:10.477047704,True,3,Positive,0.9
R00020,Sports,Great product! Highly recommend it. Excellent quality and fast shipping.,5,2023-01-01 16:38:44.392439243,True,2,Positive,0.9
R00021,Books,Decent product. Meets basic expectations.,3,2023-01-01 17:31:18.307830783,True,0,Neutral,0.0
R00022,Clothing,Poor quality! Not as described. Requesting refund.,1,2023-01-01 18:23:52.223222322,True,2,Negative,-0.6
R00023,Books,Awful! Broke after one day. Very disappointed.,2,2023-01-01 19:16:26.138613861,True,3,Negative,-0.7
R00024,Home & Garden,Awful! Broke after one day. Very disappointed.,2,2023-01-01 20:09:00.054005400,True,1,Negative,-0.7
R00025,Books,Okay. Works as expected but nothing extraordinary.,3,2023-01-01 21:01:33.969396939,True,6,Neutral,0.0
R00026,Beauty,Decent product. Meets basic expectations.,3,2023-01-01 21:54:07.884788478,True,5,Neutral,0.0
R00027,Electronics,Poor quality! Not as described. Requesting refund.,2,2023-01-01 22:46:41.800180018,True,0,Negative,-0.6
R00028,Books,Horrible experience! Product defective and customer service unhelpful.,1,2023-01-01 23:39:15.715571557,True,2,Negative,-0.7
R00029,Books,Fantastic quality and great value for money. Love it!,5,2023-01-02 00:31:49.630963096,True,4,Positive,0.8
R00030,Electronics,Horrible experience! Product defective and customer service unhelpful.,1,2023-01-02 01:24:23.546354635,True,6,Negative,-0.7
R00031,Home & Garden,Poor quality! Not as described. Requesting refund.,2,2023-01-02 02:16:57.461746174,True,3,Negative,-0.6
R00032,Beauty,Awful! Broke after one day. Very disappointed.,2,2023-01-02 03:09:31.377137713,True,3,Negative,-0.7
R00033,Electronics,Okay product. Nothing special but does the job.,3,2023-01-02 04:02:05.292529252,True,3,Neutral,0.0
R00034,Electronics,Fantastic quality and great value for money. Love it!,4,2023-01-02 04:54:39.207920792,True,1,Positive,0.8
R00035,Home & Garden,Outstanding product! Exceeded my expectations completely.,5,2023-01-02 05:47:13.123312331,True,3,Positive,0.6
R00036,Clothing,Average quality. Could be better for the price.,3,2023-01-02 06:39:47.038703870,True,0,Positive,0.6
R00037,Home & Garden,It's fine. Not great but not terrible either.,3,2023-01-02 07:32:20.954095409,True,5,Neutral,0.0
